City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Rawson,AR,-43.3002,-65.1023,56.05,37,100,13.87,overcast clouds
304,Arlit,NE,18.7369,7.3853,100.2,25,1,4.85,clear sky
305,Taltal,CL,-25.4,-70.4833,57.76,78,80,5.23,broken clouds
306,Udachnyy,RU,66.4167,112.4,44.46,81,54,11.97,broken clouds
307,Bagdarin,RU,54.4333,113.6,45.05,79,60,4.61,broken clouds
308,Saldanha,ZA,-33.0117,17.9442,57.54,61,51,12.71,broken clouds
309,Madera,US,37.1666,-119.8343,90.97,32,0,1.99,clear sky
310,Tsogni,GA,-2.7942,10.0988,77.72,67,98,8.59,overcast clouds
311,De-Kastri,RU,51.4667,140.7833,54.36,87,5,5.3,clear sky
312,Port Elizabeth,ZA,-33.918,25.5701,62.89,67,0,5.75,clear sky
313,Vestmannaeyjar,IS,63.4427,-20.2734,58.19,47,0,20.71,clear sky
314,Praia,CV,14.9215,-23.5087,84.74,70,75,10.36,broken clouds
315,Barranca,PE,-10.75,-77.7667,64.2,72,57,7.87,broken clouds
316,Mount Gambier,AU,-37.8333,140.7667,44.51,93,100,0.0,overcast clouds
317,Erenhot,CN,43.6475,111.9767,58.28,25,0,3.51,clear sky
318,Turukhansk,RU,65.8167,87.9833,42.33,65,100,1.5,overcast clouds
319,Peoria,US,40.7667,-89.7668,76.3,89,100,6.91,overcast clouds
320,Goya,AR,-29.14,-59.2626,81.63,41,56,8.55,broken clouds
321,Awjilah,LY,29.1081,21.2869,94.55,20,0,12.55,clear sky
322,Ilhabela,BR,-23.7781,-45.3581,73.9,73,23,4.97,few clouds
323,Catamarca,AR,-28.4696,-65.7852,84.58,33,14,4.0,few clouds
324,Faya,SA,18.3851,42.4509,77.52,52,87,4.23,overcast clouds
325,Cacule,BR,-14.5033,-42.2222,80.55,36,52,10.31,broken clouds
326,Nanding,CN,36.7483,118.0558,72.18,52,81,3.06,broken clouds
327,Ngunguru,NZ,-35.6167,174.5,55.09,87,36,11.07,scattered clouds
328,Avera,US,33.194,-82.5271,80.38,60,95,1.48,overcast clouds
329,Rairangpur,IN,22.2676,86.1751,80.35,81,54,3.94,broken clouds
330,Hami,CN,42.8,93.45,77.45,35,100,8.05,overcast clouds
331,Paamiut,GL,61.994,-49.6678,41.56,98,100,3.71,overcast clouds
